"","model_scenario","Category","Variable","2020","2030","2040","2050","2060","2070","2080","2090","2100"
"41","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Infilled|Emissions|Kyoto Gases (AR5-GWP100)",55392.794815637,32773.3474076912,24440.351862263,18164.9518390505,15256.6845326961,11591.0322449514,8984.45490185411,7857.3273492559,7042.69377620315
"42","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Infilled|Emissions|Kyoto Gases (AR6-GWP100)",55715.3943836829,32977.8480349274,24658.4468607232,18397.5598551037,15497.9895484611,11837.4914032834,9234.07347606825,8113.80899230737,7305.98135920368
"43","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Infilled|Emissions|N2O",11262.5749149876,10444.9300698186,9759.47789804672,8958.98988470218,8423.03061048058,7756.94242641521,7043.30753831819,6902.80251682417,6730.11849925751
"44","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Native-with-Infilled|Emissions|Kyoto Gases (AR5-GWP100)",57591.9902834554,34633.4513453965,26058.950542602,19634.1354755797,16599.9884845231,12800.4321457687,10079.9316005602,8773.60497495018,7779.95814310769
"45","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Native-with-Infilled|Emissions|Kyoto Gases (AR6-GWP100)",57876.0721161257,34816.2986112245,26255.1722894976,19844.0922265542,16818.6023454917,13024.3201900195,10307.1578383077,9006.72290134583,8018.92568142183
"46","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|CICERO-SCM|10.0th Percentile",1.01955409627451,1.17506001929412,1.20937884901961,1.20153353258824,1.1625772627451,1.12422357568628,1.07547478588235,1.0349458417647,1.00536906176471
"47","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|CICERO-SCM|16.7th Percentile",1.06297175629085,1.23165941611111,1.26705808137255,1.25393309477124,1.21376479052288,1.17131466722222,1.11867063529412,1.07706230196078,1.04631896862745
"48","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|CICERO-SCM|33.0th Percentile",1.13886366413725,1.32166576243137,1.3737863417451,1.37262064056863,1.32636288452941,1.28484233688235,1.23050362866667,1.18538090501961,1.15013590501961
"49","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|CICERO-SCM|5.0th Percentile",0.967254184705882,1.11906043529412,1.15088378833333,1.13862352960784,1.09783292284314,1.05695136931373,1.00978779637255,0.96906882372549,0.93789732372549
"50","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|CICERO-SCM|50.0th Percentile",1.20625928235294,1.39883244019608,1.45318571372549,1.45526331862745,1.41399201470588,1.37438702254902,1.31916920392157,1.2731838245098,1.24034047686275
"51","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|CICERO-SCM|67.0th Percentile",1.27403407291373,1.49979085713725,1.57344538478431,1.58043256937255,1.53819621270588,1.49763834466863,1.43714623805882,1.39118208319608,1.35529992411765
"52","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|CICERO-SCM|83.3th Percentile",1.36003900424837,1.63550448431373,1.73687867810458,1.76190672287582,1.73149170980392,1.69443265009804,1.63215251683007,1.58273977009804,1.54724143676471
"53","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|CICERO-SCM|90.0th Percentile",1.40951371058823,1.71885205803922,1.84165360156863,1.8776888845098,1.8496689954902,1.81443804435294,1.74561003670588,1.69146520764706,1.65281951980392
"54","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|CICERO-SCM|95.0th Percentile",1.47475493882353,1.83186736264706,1.97300772127451,2.0187577327451,1.9859142327451,1.94896199068627,1.88973746372549,1.83453375431373,1.79525075852941
"55","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|10.0th Percentile",1.05008666710747,1.22329991387949,1.27953773171023,1.29937736512577,1.2898302001139,1.29630094734321,1.28361894175731,1.28032944858706,1.28482206545692
"56","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|16.7th Percentile",1.09386065444597,1.28083144485616,1.33641979151635,1.35868339541817,1.3563745774827,1.36229000630139,1.35082887291437,1.34860045779146,1.35712530535366
"57","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|33.0th Percentile",1.1680883330144,1.37724505542436,1.44705458720667,1.47725075428915,1.4800280194397,1.48913517688234,1.48222135742919,1.48570784408202,1.49818832319053
"58","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|5.0th Percentile",1.00188011584117,1.16527588377774,1.20678373974847,1.22443145402992,1.21672510457126,1.21459262769597,1.19941247915989,1.19044646152853,1.19547747862795
"59","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|50.0th Percentile",1.23704866947035,1.46815279896319,1.55876353336839,1.60063696489138,1.60737829188392,1.61729298357318,1.61423859648407,1.62188532201736,1.6383472298952
"60","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|67.0th Percentile",1.30343514925991,1.56245370482552,1.67498983676957,1.72866022276389,1.73808307259382,1.75732879507567,1.76392413921522,1.77767926701928,1.80207451934748
"61","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|83.3th Percentile",1.38172374737645,1.68488075484348,1.82416749113579,1.89070931755308,1.92204127301171,1.95169189205629,1.96784385283142,1.98843958019013,2.02059797166217
"62","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|90.0th Percentile",1.4241564302892,1.74558418571442,1.91928379843698,2.00298489152285,2.03967915541726,2.08131380413975,2.10443213743452,2.12714242768147,2.16459863137504
"63","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|95.0th Percentile",1.46281687377244,1.83080732641402,2.0298175986715,2.13659766126238,2.19016973535705,2.25574978295805,2.27651639710356,2.32020975992805,2.36690908795507
"64","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile",1.03888699540228,1.23838943099625,1.31012201878809,1.33671059894849,1.31755864608399,1.29625284879176,1.26064676513352,1.23041315984649,1.20415592306086
"65","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|16.7th Percentile",1.08582019353204,1.30528053845844,1.38611209514407,1.41163522992285,1.38799445574391,1.3746580780492,1.33909150678948,1.31314869484308,1.29581246886328
"66","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|33.0th Percentile",1.16515312142673,1.41476669920013,1.51645041697786,1.55848024630585,1.54938511220801,1.53673680282475,1.50257085620651,1.48142007682515,1.46968789678146
"67","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|5.0th Percentile",0.98963947234886,1.18064505503043,1.24091881069187,1.25699710116762,1.23641941639786,1.21439603461969,1.18251244493781,1.14018861424241,1.11445570056495
"68","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile",1.22000663197765,1.50290120227837,1.63048748801966,1.68334031467665,1.686861685505,1.68778062103948,1.6654875078476,1.65173876695952,1.64322172776351
